,white/caucasian,black,hispanic/latino,asian,native american/alaskan native,pacific islander
lupus,62364,104540,409,175,11,186
hiv/aids,51036,103647,5629,2297,364,221
prostate cancer,8329,8634,289,79,16,2
covid-19,275017,448301,31290,49894,2995,3221
takotsubo cardiomyopathy,2,3,2,0,0,0
multiple sclerosis,6015,4775,57,51,20,3
colon cancer,4770,7819,1149,117,92,46
tuberculoses,697175,1294848,22284,10817,578,955
bacterial pneumonia,11265,26528,648,389,67,116
endocarditis,108,76,2,40,0,0
syphilis,350,1559,14,22,8,0
type 2 diabetes,3943,3451,260,685,17,12
multiple myeloma,1,2,0,0,0,0
essential hypertension,9443,13268,1571,1835,102,76
sarcoidoses,0,0,0,0,0,0
rheumatoid arthritis,597,1168,69,84,14,0
hepatitis b,0,0,0,0,0,0
