,white/caucasian,black,hispanic/latino,asian,pacific islander,native american/alaskan native
tuberculoses,13089,38184,452,299,21,9
covid-19,5935,7845,815,1583,58,58
lupus,527,1535,6,13,1,0
hiv/aids,1094,2038,258,65,6,9
colon cancer,118,216,42,7,1,5
prostate cancer,159,255,13,4,0,0
bacterial pneumonia,308,443,9,11,4,0
multiple sclerosis,269,76,8,10,0,4
type 2 diabetes,156,106,25,24,0,2
essential hypertension,447,431,76,115,6,8
rheumatoid arthritis,18,46,7,3,0,0
syphilis,8,39,2,1,0,0
takotsubo cardiomyopathy,0,2,0,0,0,0
endocarditis,0,0,0,0,0,0
multiple myeloma,0,0,0,0,0,0
sarcoidoses,0,0,0,0,0,0
hepatitis b,0,0,0,0,0,0
