,white/caucasian,black,hispanic/latino,asian,native american/alaskan native,pacific islander
tuberculoses,28444,78131,1125,672,29,43
covid-19,14239,19139,2083,3412,206,208
hiv/aids,3059,5052,530,125,15,7
lupus,1532,3735,17,29,0,3
essential hypertension,973,1054,194,316,17,14
colon cancer,299,451,103,9,6,1
prostate cancer,474,592,26,5,0,0
bacterial pneumonia,776,1181,27,36,2,12
multiple sclerosis,440,191,10,11,4,0
type 2 diabetes,345,251,32,71,8,1
rheumatoid arthritis,38,105,10,8,0,0
endocarditis,0,6,1,0,0,0
syphilis,14,90,4,2,0,0
takotsubo cardiomyopathy,0,2,0,0,0,0
multiple myeloma,0,0,0,0,0,0
sarcoidoses,0,0,0,0,0,0
hepatitis b,0,0,0,0,0,0
