,black,white/caucasian,asian,hispanic/latino,pacific islander,native american/alaskan native
covid-19,3992,3077,837,419,27,20
tuberculoses,21799,7064,130,190,13,4
lupus,750,247,5,2,0,0
hiv/aids,1041,551,32,136,6,7
bacterial pneumonia,194,147,5,3,0,0
prostate cancer,147,90,3,9,0,0
colon cancer,115,62,6,20,1,3
essential hypertension,252,255,69,36,6,6
multiple sclerosis,31,180,4,4,0,0
type 2 diabetes,58,79,10,16,0,2
rheumatoid arthritis,24,11,2,3,0,0
syphilis,19,4,0,1,0,0
takotsubo cardiomyopathy,1,0,0,0,0,0
endocarditis,0,0,0,0,0,0
multiple myeloma,0,0,0,0,0,0
sarcoidoses,0,0,0,0,0,0
hepatitis b,0,0,0,0,0,0
