,publication_date,lupus,hiv/aids,prostate cancer,covid-19,takotsubo cardiomyopathy,multiple sclerosis,colon cancer,tuberculoses,bacterial pneumonia,endocarditis,syphilis,type 2 diabetes,multiple myeloma,essential hypertension,sarcoidoses,rheumatoid arthritis,hepatitis b
0,1483.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1591.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1602.0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1603.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1605.0,0,6,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
5,1607.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1611.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1612.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1615.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1616.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1619.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1621.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1623.0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
13,1625.0,0,5,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
14,1627.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1636.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,1638.0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1639.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1640.0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,1641.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1643.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1644.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1645.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1651.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1656.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1657.0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,1659.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1660.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1665.0,4,1,0,0,0,0,0,0,1,0,58,0,0,0,0,0,0
29,1666.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1670.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1671.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1673.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1677.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1678.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1682.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1684.0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1685.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1686.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1688.0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1691.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1693.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1697.0,1,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
43,1700.0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,1701.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1702.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1704.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1705.0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1707.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1709.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,1711.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1712.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1717.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1719.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
54,1720.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1721.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1723.0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
57,1725.0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
58,1728.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1730.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1731.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1734.0,0,0,0,0,0,0,0,7,16,0,9,0,0,0,0,0,0
62,1736.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1737.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
