,male,female
lupus,219009077,128657645
hiv/aids,427855772,269914208
prostate cancer,16462036,12901049
covid-19,23015,18175
takotsubo cardiomyopathy,331839,392898
multiple sclerosis,11646804,9983414
colon cancer,13040403,12468639
tuberculoses,366394221,109044738
bacterial pneumonia,117909962,76346709
endocarditis,3928628,3313420
syphilis,71942496,36863211
type 2 diabetes,9530269,10143902
multiple myeloma,122657,141333
essential hypertension,29539111,29861586
sarcoidoses,19000,24016
rheumatoid arthritis,11598451,11334654
hepatitis b,0,0
