,white/caucasian,black,hispanic/latino,asian,native american/alaskan native,pacific islander
lupus,7989824,5982480,2261854,512572,135436,28710
hiv/aids,32911242,29085582,8696052,4626937,1369777,317059
prostate cancer,1944749,1427676,249363,282112,85561,25326
covid-19,2514,2027,402,283,168,23
takotsubo cardiomyopathy,34514,18130,4176,2856,1621,493
multiple sclerosis,1151841,652599,117407,92394,44443,9848
colon cancer,2099870,1402460,244923,295293,90504,25562
tuberculoses,12744028,7462775,1547321,894604,477302,77624
bacterial pneumonia,5459579,3526120,448296,260667,164918,40361
endocarditis,739254,395727,61322,45386,21934,5022
syphilis,3583744,2720437,505734,234874,204927,34628
type 2 diabetes,2094664,1409753,284123,379894,106685,32428
multiple myeloma,40493,20921,3134,2899,1040,262
essential hypertension,5914518,4375045,790079,737154,233999,57582
sarcoidoses,5090,2416,822,362,202,48
rheumatoid arthritis,2226344,1307625,230283,221492,81440,13114
hepatitis b,0,0,0,0,0,0
