,white/caucasian,black,native american/alaskan native,asian,hispanic/latino,pacific islander
bacterial pneumonia,290,207,17,8,10,0
lupus,251,234,6,19,114,1
tuberculoses,1802,1286,139,104,88,7
hiv/aids,2080,4974,99,383,821,42
syphilis,395,582,41,5,57,15
type 2 diabetes,254,155,64,114,99,17
endocarditis,21,8,0,0,1,0
rheumatoid arthritis,65,49,8,11,4,0
prostate cancer,224,289,4,65,11,3
essential hypertension,650,720,14,50,63,6
colon cancer,208,181,8,14,6,10
multiple sclerosis,132,28,8,4,3,0
multiple myeloma,1,0,0,0,0,0
takotsubo cardiomyopathy,2,1,1,0,0,0
covid-19,0,0,0,0,0,0
sarcoidoses,0,0,0,0,0,0
hepatitis b,0,0,0,0,0,0
