,black,white/caucasian,hispanic/latino,pacific islander,native american/alaskan native,asian
lupus,2679,2948,812,22,96,234
syphilis,4426,4247,502,113,412,135
hiv/aids,42200,25339,6927,348,1163,3454
bacterial pneumonia,3323,4638,242,28,217,113
type 2 diabetes,1575,2809,858,191,584,1009
tuberculoses,10983,14660,1197,181,1169,977
endocarditis,111,349,11,0,3,8
essential hypertension,5261,4594,569,73,207,540
multiple sclerosis,461,1249,40,4,81,53
rheumatoid arthritis,689,1172,61,4,62,127
prostate cancer,2103,2059,174,43,74,622
colon cancer,1629,2048,81,63,65,236
multiple myeloma,6,18,0,0,0,1
takotsubo cardiomyopathy,19,24,1,0,2,3
covid-19,1,1,0,0,0,0
sarcoidoses,1,1,0,0,0,0
hepatitis b,0,0,0,0,0,0
