,white/caucasian,black,hispanic/latino,asian,native american/alaskan native,pacific islander
lupus,206812,148279,40627,31133,13203,2334
hiv/aids,1653103,2266276,380764,184337,78809,27957
prostate cancer,245508,231347,26637,39466,6529,2751
covid-19,1536,138,10,58,5,0
takotsubo cardiomyopathy,2951,722,155,382,45,21
multiple sclerosis,190573,46554,10708,8966,2968,1108
colon cancer,140939,90880,18258,24985,6816,2731
tuberculoses,725831,647193,88835,95378,53759,11679
bacterial pneumonia,207334,120327,23343,17858,12680,2132
endocarditis,24630,6177,1321,1595,208,81
syphilis,44756,46077,7551,3499,3436,1083
type 2 diabetes,311341,162963,73332,88873,34047,12079
multiple myeloma,1212,504,37,80,7,8
essential hypertension,541602,304199,60850,57219,11407,5261
sarcoidoses,128,104,0,0,1,0
rheumatoid arthritis,148450,57574,8020,10885,4367,637
hepatitis b,0,0,0,0,0,0
