,black,white/caucasian,asian,hispanic/latino,pacific islander,native american/alaskan native
prostate cancer,89390,73903,12255,9121,788,2188
tuberculoses,158183,146438,20629,20462,2736,15903
hiv/aids,750885,469084,51246,136560,9567,24250
bacterial pneumonia,31138,49142,3979,5217,474,2797
lupus,45540,56786,12057,16467,989,5273
essential hypertension,90198,130228,14813,17302,1581,2965
multiple sclerosis,10936,44184,2282,2817,194,710
type 2 diabetes,48489,81861,29468,26085,5330,13063
colon cancer,34235,41674,7500,7125,918,2655
endocarditis,1376,5895,307,336,14,49
syphilis,16946,12523,849,2319,417,1262
rheumatoid arthritis,13842,34855,2639,2081,170,1191
multiple myeloma,117,383,20,10,1,0
takotsubo cardiomyopathy,191,967,122,45,15,20
covid-19,12,190,12,0,0,0
sarcoidoses,19,19,0,0,0,0
hepatitis b,0,0,0,0,0,0
