,black,white/caucasian,hispanic/latino,asian,native american/alaskan native,pacific islander
hiv/aids,212554,122459,37794,12796,6237,2609
tuberculoses,40419,36297,4791,5016,4104,594
lupus,13194,14530,4989,3358,1482,255
prostate cancer,27157,19932,2388,3370,545,200
type 2 diabetes,13393,20138,7873,8755,4092,1687
essential hypertension,25808,36852,4670,3847,723,447
rheumatoid arthritis,2886,7983,408,580,289,22
colon cancer,9370,10149,1908,1982,786,244
bacterial pneumonia,6864,11130,1029,786,631,88
multiple sclerosis,2336,11745,639,489,134,28
syphilis,5617,2996,592,208,372,112
endocarditis,270,1415,65,74,10,3
multiple myeloma,31,154,6,1,0,0
takotsubo cardiomyopathy,39,258,9,32,4,2
covid-19,3,59,0,1,0,0
sarcoidoses,2,3,0,0,0,0
hepatitis b,0,0,0,0,0,0
