,white/caucasian,black,hispanic/latino,asian,native american/alaskan native,pacific islander
lupus,1778,2129,667,160,46,22
hiv/aids,18199,13978,7230,2804,2014,916
prostate cancer,1270,359,98,38,32,28
covid-19,2165,2064,200,208,7,5
takotsubo cardiomyopathy,2,4,0,0,0,0
multiple sclerosis,280,281,21,14,7,2
colon cancer,1708,525,102,58,87,70
tuberculoses,721319,140022,20147,7373,1102,426
bacterial pneumonia,1711,974,400,186,485,147
endocarditis,300,105,101,42,27,25
syphilis,817,489,43,15,8,1
type 2 diabetes,400,306,103,46,30,25
multiple myeloma,4,0,0,0,0,0
essential hypertension,2592,1017,676,168,102,91
sarcoidoses,0,0,0,0,0,0
rheumatoid arthritis,231,207,17,23,12,8
hepatitis b,0,0,0,0,0,0
