,white/caucasian,black,asian,hispanic/latino,native american/alaskan native,pacific islander
covid-19,92,141,13,15,0,0
tuberculoses,6061,2975,92,355,51,33
hiv/aids,183,331,36,63,60,19
multiple sclerosis,12,3,0,0,0,0
essential hypertension,15,12,8,3,0,1
lupus,47,47,6,4,0,0
colon cancer,41,14,1,0,3,0
type 2 diabetes,5,40,4,2,1,1
prostate cancer,43,23,1,1,2,1
bacterial pneumonia,25,6,1,2,0,0
syphilis,13,12,0,3,0,0
endocarditis,2,0,0,0,0,0
rheumatoid arthritis,4,0,0,0,0,0
takotsubo cardiomyopathy,0,0,0,0,0,0
multiple myeloma,0,0,0,0,0,0
sarcoidoses,0,0,0,0,0,0
hepatitis b,0,0,0,0,0,0
