,white/caucasian,black,hispanic/latino,asian,native american/alaskan native,pacific islander
tuberculoses,763,844,12,9,0,0
covid-19,66,57,6,1,1,0
hiv/aids,25,45,21,2,0,0
lupus,6,5,7,0,0,0
essential hypertension,21,13,5,5,0,0
colon cancer,4,4,0,8,0,0
bacterial pneumonia,4,6,9,0,1,0
prostate cancer,0,5,0,2,0,0
type 2 diabetes,12,1,0,1,0,0
multiple myeloma,2,0,0,0,0,0
takotsubo cardiomyopathy,0,0,0,0,0,0
multiple sclerosis,0,0,0,0,0,0
endocarditis,0,0,0,0,0,0
syphilis,0,0,0,0,0,0
sarcoidoses,0,0,0,0,0,0
rheumatoid arthritis,0,0,0,0,0,0
hepatitis b,0,0,0,0,0,0
