,white/caucasian,black,asian,hispanic/latino,native american/alaskan native,pacific islander
tuberculoses,8179,8620,62,167,0,0
covid-19,1324,995,20,49,4,4
hiv/aids,511,599,28,218,2,0
bacterial pneumonia,169,121,7,144,33,0
lupus,139,112,14,42,0,0
prostate cancer,10,24,8,4,0,0
syphilis,10,17,0,0,2,0
essential hypertension,246,145,15,47,4,3
colon cancer,64,56,30,11,0,0
multiple sclerosis,8,7,0,0,0,0
type 2 diabetes,160,51,9,0,0,0
rheumatoid arthritis,13,10,2,0,0,0
multiple myeloma,8,6,0,0,0,0
takotsubo cardiomyopathy,0,0,0,0,0,0
endocarditis,0,0,0,0,0,0
sarcoidoses,0,0,0,0,0,0
hepatitis b,0,0,0,0,0,0
