,white/caucasian,black,hispanic/latino,asian,native american/alaskan native,pacific islander
lupus,15130,11074,3397,2047,558,198
hiv/aids,137354,245800,55290,21893,14991,2938
prostate cancer,9973,11740,1720,1070,292,94
covid-19,350608,248695,57899,74876,12897,6188
takotsubo cardiomyopathy,94,157,4,7,0,0
multiple sclerosis,7393,3093,606,450,152,23
colon cancer,6578,8479,963,1104,331,128
tuberculoses,50456,45913,8474,6115,10135,1800
bacterial pneumonia,29769,33654,4410,2481,3165,988
endocarditis,992,259,130,43,9,12
syphilis,12653,17636,3328,703,1381,643
type 2 diabetes,5594,4691,1893,3241,1640,402
multiple myeloma,47,21,3,16,0,2
essential hypertension,11603,12342,3988,1762,1507,244
sarcoidoses,35,21,0,0,0,0
rheumatoid arthritis,3151,1426,306,271,77,12
hepatitis b,0,0,0,0,0,0
