,white/caucasian,black,native american/alaskan native,hispanic/latino,pacific islander,asian
tuberculoses,3512,3749,707,488,148,294
covid-19,18419,14226,659,2851,329,4820
hiv/aids,8708,19497,837,4168,279,1541
multiple sclerosis,612,337,12,53,2,33
prostate cancer,768,1107,14,131,4,76
colon cancer,438,828,31,49,7,88
lupus,1371,1171,23,407,5,154
rheumatoid arthritis,271,65,8,24,0,15
syphilis,674,1056,100,194,54,24
essential hypertension,1077,1003,81,239,17,102
bacterial pneumonia,1868,2554,230,264,88,208
type 2 diabetes,392,250,83,78,16,193
endocarditis,92,27,0,9,0,1
multiple myeloma,4,1,0,0,0,0
takotsubo cardiomyopathy,8,7,0,0,0,1
sarcoidoses,2,0,0,0,0,0
hepatitis b,0,0,0,0,0,0
