,white/caucasian,black,native american/alaskan native,asian,hispanic/latino,pacific islander
bacterial pneumonia,290,207,17,8,10,0
lupus,251,234,6,19,114,1
tuberculoses,1802,1286,139,104,88,7
hiv/aids,2080,4974,99,383,821,42
syphilis,399,585,41,5,57,15
type 2 diabetes,259,155,64,114,100,17
chagas disease,7,45,1,1,17,0
endocarditis,21,8,0,0,1,0
rheumatoid arthritis,84,55,9,14,4,0
gastric cancer,58,25,6,16,11,5
prostate cancer,224,289,4,65,11,3
essential hypertension,650,720,14,50,63,6
colon cancer,208,181,8,14,6,10
multiple myeloma,25,9,1,1,0,0
ovarian cancer,23,29,1,3,2,2
multiple sclerosis,132,28,8,4,3,0
sarcoidoses,39,58,0,3,0,0
hepatitis b,41,47,4,44,5,3
crohn’s disease,12,7,0,0,0,0
ulcerative colitis,33,14,1,0,1,0
takotsubo cardiomyopathy,2,1,1,0,0,0
covid-19,0,0,0,0,0,0
