,black,white/caucasian,hispanic/latino,pacific islander,native american/alaskan native,asian
hiv/aids,99662,64809,16386,892,2854,8526
lupus,6399,7321,1815,46,242,533
bacterial pneumonia,9075,12327,678,104,561,387
syphilis,10285,10492,1258,241,974,382
tuberculoses,25637,36109,3088,423,2627,2065
type 2 diabetes,3846,7081,1923,434,1266,2338
endocarditis,285,830,24,2,4,19
rheumatoid arthritis,2048,3592,197,22,166,338
chagas disease,542,186,139,3,24,19
essential hypertension,11615,10849,1388,206,512,1302
multiple sclerosis,1276,2888,143,13,148,142
gastric cancer,990,1430,197,44,102,344
ulcerative colitis,673,1344,59,11,42,86
crohn’s disease,198,498,27,0,2,32
ovarian cancer,976,1214,122,16,85,145
hepatitis b,1093,1627,269,49,117,724
colon cancer,3795,5070,232,126,206,645
prostate cancer,5006,5107,463,116,207,1391
sarcoidoses,1117,1030,17,1,4,70
multiple myeloma,332,673,18,3,14,25
takotsubo cardiomyopathy,48,73,18,4,7,11
covid-19,1,1,0,0,0,0
