,male,female
hiv/aids,266904,162062
bacterial pneumonia,115560,73196
lupus,58882,26274
tuberculoses,173401,71442
rheumatoid arthritis,6374,8659
type 2 diabetes,7321,8431
syphilis,49310,22228
endocarditis,1268,767
ovarian cancer,3901,14051
essential hypertension,14984,12584
chagas disease,470,139
gastric cancer,7882,4595
prostate cancer,29120,5974
multiple sclerosis,8761,9846
ulcerative colitis,1561,1217
colon cancer,11904,10197
hepatitis b,3475,2867
takotsubo cardiomyopathy,169,373
multiple myeloma,1222,919
sarcoidoses,614,551
crohn’s disease,516,309
covid-19,1,2
