,male,female
lupus,55630,9678
hiv/aids,178527,125636
prostate cancer,27961,14122
covid-19,673458,360921
takotsubo cardiomyopathy,131,59
multiple sclerosis,4071,2097
colon cancer,16442,7797
tuberculoses,805194,356912
bacterial pneumonia,24670,12583
endocarditis,167,474
syphilis,2942,1852
type 2 diabetes,16302,9745
multiple myeloma,762,257
essential hypertension,21420,19641
sarcoidoses,360,215
rheumatoid arthritis,1198,1094
hepatitis b,2600,1514
ulcerative colitis,139,411
crohn’s disease,165,137
gastric cancer,2966,965
chagas disease,189,24
ovarian cancer,3493,5916
