,white/caucasian,black,hispanic/latino,asian,native american/alaskan native,pacific islander
lupus,62364,104540,409,175,11,186
hiv/aids,51036,103647,5629,2297,364,221
prostate cancer,8329,8634,289,79,16,2
covid-19,275017,448301,31290,49894,2995,3221
takotsubo cardiomyopathy,2,3,2,0,0,0
multiple sclerosis,6015,4775,57,51,20,3
colon cancer,4770,7819,1149,117,92,46
tuberculoses,697175,1294848,22284,10817,578,955
bacterial pneumonia,11265,26528,648,389,67,116
endocarditis,108,76,2,40,0,0
syphilis,350,1559,14,22,8,0
type 2 diabetes,10672,30004,467,698,17,48
multiple myeloma,150,185,6,2,2,0
essential hypertension,9443,13268,1571,1835,102,76
sarcoidoses,521,379,35,1,0,0
rheumatoid arthritis,644,1255,76,85,14,0
hepatitis b,892,2455,55,39,5,4
ulcerative colitis,297,278,12,8,3,0
crohn’s disease,94,162,0,0,0,0
gastric cancer,529,3681,54,27,19,5
chagas disease,35,138,74,1,0,0
ovarian cancer,666,1810,48,44,15,0
