,black,white/caucasian,hispanic/latino,asian,pacific islander,native american/alaskan native
tuberculoses,3405,1418,39,18,2,1
lupus,159,36,1,2,0,0
covid-19,777,626,74,187,0,2
hiv/aids,200,101,30,6,0,3
hepatitis b,5,2,0,1,0,0
multiple sclerosis,4,54,0,0,0,0
gastric cancer,8,6,0,0,0,0
prostate cancer,31,26,1,0,0,0
type 2 diabetes,50,17,2,2,0,0
colon cancer,27,19,4,1,0,0
essential hypertension,63,56,4,10,0,0
bacterial pneumonia,38,19,0,1,0,0
ovarian cancer,8,5,1,0,0,0
chagas disease,2,0,4,0,0,0
ulcerative colitis,1,0,0,0,0,0
multiple myeloma,0,5,0,0,0,0
sarcoidoses,0,4,0,0,0,0
syphilis,5,0,0,0,0,0
takotsubo cardiomyopathy,1,0,0,0,0,0
endocarditis,0,0,0,0,0,0
rheumatoid arthritis,0,0,0,0,0,0
crohn’s disease,0,0,0,0,0,0
