,female,male
tuberculoses,6999,13581
type 2 diabetes,291,285
hiv/aids,4796,5287
essential hypertension,1141,775
covid-19,5510,14809
prostate cancer,166,1593
lupus,213,1119
colon cancer,364,1074
bacterial pneumonia,456,611
ovarian cancer,425,127
gastric cancer,38,177
multiple sclerosis,72,107
hepatitis b,62,95
chagas disease,0,6
rheumatoid arthritis,61,55
syphilis,34,125
ulcerative colitis,24,5
crohn’s disease,2,1
multiple myeloma,11,24
endocarditis,10,4
sarcoidoses,14,21
takotsubo cardiomyopathy,1,1
