,white/caucasian,black,hispanic/latino,asian,pacific islander,native american/alaskan native
tuberculoses,13089,38184,452,299,21,9
covid-19,5935,7845,815,1583,58,58
lupus,527,1535,6,13,1,0
hiv/aids,1094,2038,258,65,6,9
colon cancer,118,216,42,7,1,5
prostate cancer,159,255,13,4,0,0
bacterial pneumonia,308,443,9,11,4,0
multiple sclerosis,269,76,8,10,0,4
type 2 diabetes,267,678,32,24,0,2
essential hypertension,447,431,76,115,6,8
hepatitis b,23,69,2,3,1,1
gastric cancer,23,40,2,3,0,2
rheumatoid arthritis,19,47,10,4,0,0
ovarian cancer,25,44,5,2,0,2
crohn’s disease,4,0,0,0,0,0
chagas disease,1,4,15,0,0,0
syphilis,8,39,2,1,0,0
ulcerative colitis,10,2,1,0,0,0
multiple myeloma,22,7,0,0,0,0
sarcoidoses,29,24,3,0,0,0
takotsubo cardiomyopathy,0,2,0,0,0,0
endocarditis,0,0,0,0,0,0
