,male,female
tuberculoses,33796,17856
type 2 diabetes,726,644
hiv/aids,11527,10388
essential hypertension,1534,2229
covid-19,35862,13943
bacterial pneumonia,1509,1147
prostate cancer,2739,354
lupus,2523,495
colon cancer,2107,679
ovarian cancer,287,735
hepatitis b,210,134
gastric cancer,372,90
multiple sclerosis,260,147
chagas disease,12,1
rheumatoid arthritis,125,126
syphilis,250,88
ulcerative colitis,13,55
endocarditis,13,16
crohn’s disease,2,5
multiple myeloma,70,21
sarcoidoses,38,23
takotsubo cardiomyopathy,2,2
