,white/caucasian,black,hispanic/latino,asian,native american/alaskan native,pacific islander
tuberculoses,28444,78131,1125,672,29,43
covid-19,14239,19139,2083,3412,206,208
hiv/aids,3059,5052,530,125,15,7
lupus,1532,3735,17,29,0,3
essential hypertension,973,1054,194,316,17,14
colon cancer,299,451,103,9,6,1
prostate cancer,474,592,26,5,0,0
bacterial pneumonia,776,1181,27,36,2,12
multiple sclerosis,440,191,10,11,4,0
type 2 diabetes,642,1577,54,71,8,1
hepatitis b,50,201,10,7,1,1
gastric cancer,38,73,2,3,2,0
rheumatoid arthritis,40,106,13,9,0,0
endocarditis,0,6,1,0,0,0
ovarian cancer,41,105,5,2,2,0
ulcerative colitis,29,8,2,0,0,0
crohn’s disease,7,0,0,0,0,0
chagas disease,2,7,27,0,0,0
syphilis,14,90,4,2,0,0
multiple myeloma,34,12,0,0,0,0
sarcoidoses,51,44,8,0,0,0
takotsubo cardiomyopathy,0,2,0,0,0,0
