,black,white/caucasian,asian,hispanic/latino,pacific islander,native american/alaskan native
covid-19,3992,3077,837,419,27,20
tuberculoses,21799,7064,130,190,13,4
lupus,750,247,5,2,0,0
hiv/aids,1041,551,32,136,6,7
bacterial pneumonia,194,147,5,3,0,0
prostate cancer,147,90,3,9,0,0
colon cancer,115,62,6,20,1,3
type 2 diabetes,359,129,10,18,0,2
hepatitis b,34,14,1,0,0,1
essential hypertension,252,255,69,36,6,6
multiple sclerosis,31,180,4,4,0,0
gastric cancer,18,14,2,1,0,1
ovarian cancer,18,9,0,1,0,0
rheumatoid arthritis,25,12,3,4,0,0
crohn’s disease,0,2,0,0,0,0
chagas disease,4,0,0,11,0,0
ulcerative colitis,2,5,0,0,0,0
multiple myeloma,4,15,0,0,0,0
sarcoidoses,13,16,0,3,0,0
syphilis,19,4,0,1,0,0
takotsubo cardiomyopathy,1,0,0,0,0,0
endocarditis,0,0,0,0,0,0
