,white/caucasian,black,hispanic/latino,asian,native american/alaskan native,pacific islander
lupus,7989824,5982480,2261854,512572,135436,28710
hiv/aids,32911242,29085582,8696052,4626937,1369777,317059
prostate cancer,1944749,1427676,249363,282112,85561,25326
covid-19,2514,2027,402,283,168,23
takotsubo cardiomyopathy,34514,18130,4176,2856,1621,493
multiple sclerosis,1151841,652599,117407,92394,44443,9848
colon cancer,2099870,1402460,244923,295293,90504,25562
tuberculoses,12744981,7462973,1547464,894619,477302,77626
bacterial pneumonia,5459579,3526120,448296,260667,164918,40361
endocarditis,739254,395727,61322,45386,21934,5022
syphilis,3598066,2733779,507543,235216,205699,34669
type 2 diabetes,2160452,1441312,291263,385673,108560,33146
multiple myeloma,534218,303079,30442,37477,12719,2204
essential hypertension,5914518,4375045,790079,737154,233999,57582
sarcoidoses,2033079,1080707,87707,189013,35677,7812
rheumatoid arthritis,2791322,1612122,258547,271451,94345,15492
hepatitis b,1298934,899534,154227,177558,49789,7967
ulcerative colitis,841093,496638,67135,83635,27649,5038
crohn’s disease,638402,307449,32274,54596,9597,2030
gastric cancer,744199,490379,67221,89022,25810,5338
chagas disease,134340,83878,19821,12328,7267,1777
ovarian cancer,564872,443024,65595,65478,28629,6000
