,male,female
hiv/aids,540255,327803
bacterial pneumonia,222784,143650
lupus,116142,53051
tuberculoses,338461,139702
syphilis,97501,45667
rheumatoid arthritis,13097,16622
type 2 diabetes,14638,16582
endocarditis,2595,1573
ovarian cancer,8147,25310
essential hypertension,29583,25229
ulcerative colitis,3188,2483
chagas disease,1000,325
gastric cancer,14772,8421
prostate cancer,52114,13135
multiple sclerosis,17444,18134
crohn’s disease,970,649
colon cancer,22072,19201
hepatitis b,7069,5937
takotsubo cardiomyopathy,399,718
sarcoidoses,1243,1180
multiple myeloma,2332,1818
covid-19,3,3
