,white/caucasian,black,hispanic/latino,asian,pacific islander,native american/alaskan native
hiv/aids,12437,22203,3576,1741,180,533
bacterial pneumonia,2120,1480,107,56,9,109
lupus,1415,1323,450,129,11,41
type 2 diabetes,1370,808,465,527,116,312
tuberculoses,7893,6176,584,523,89,613
endocarditis,160,47,7,4,0,2
syphilis,2121,2388,249,50,63,239
chagas disease,33,139,45,3,0,3
essential hypertension,2469,2956,300,275,40,107
multiple sclerosis,643,218,16,22,1,40
gastric cancer,259,170,42,83,12,19
rheumatoid arthritis,623,371,31,77,1,40
ovarian cancer,221,192,15,24,5,11
prostate cancer,1008,1142,88,315,22,36
colon cancer,1002,832,32,106,31,33
hepatitis b,278,224,37,188,15,20
multiple myeloma,138,69,2,4,0,2
crohn’s disease,97,34,5,3,0,1
sarcoidoses,211,260,2,15,0,0
ulcerative colitis,212,116,4,20,0,5
takotsubo cardiomyopathy,10,9,1,2,0,2
covid-19,1,1,0,0,0,0
