,male,female
lupus,1479778,1925307
hiv/aids,19494969,17383002
prostate cancer,4131062,1121340
covid-19,4560,1494
takotsubo cardiomyopathy,29775,46654
multiple sclerosis,1332154,1307761
colon cancer,1514432,1354861
tuberculoses,7855347,4481435
bacterial pneumonia,4650946,3224627
endocarditis,157135,101958
syphilis,669192,429576
type 2 diabetes,1756895,1878203
multiple myeloma,321885,221787
essential hypertension,2630327,2748986
sarcoidoses,181428,146012
rheumatoid arthritis,1050785,1103565
hepatitis b,682254,814848
ulcerative colitis,241918,220520
crohn’s disease,292353,287440
gastric cancer,482398,315272
chagas disease,55001,54487
ovarian cancer,679706,2170192
