,white/caucasian,black,hispanic/latino,asian,native american/alaskan native,pacific islander
lupus,206812,148279,40627,31133,13203,2334
hiv/aids,1653103,2266276,380764,184337,78809,27957
prostate cancer,245508,231347,26637,39466,6529,2751
covid-19,1536,138,10,58,5,0
takotsubo cardiomyopathy,2951,722,155,382,45,21
multiple sclerosis,190573,46554,10708,8966,2968,1108
colon cancer,140939,90880,18258,24985,6816,2731
tuberculoses,725920,647406,88845,95465,53771,11680
bacterial pneumonia,207334,120327,23343,17858,12680,2132
endocarditis,24630,6177,1321,1595,208,81
syphilis,44842,46117,7553,3501,3436,1083
type 2 diabetes,322127,168539,75131,90151,34746,12347
multiple myeloma,51803,19396,4476,2801,616,396
essential hypertension,541602,304199,60850,57219,11407,5261
sarcoidoses,37128,22704,1828,1961,176,28
rheumatoid arthritis,169410,67520,9710,12611,4960,730
hepatitis b,112947,72567,18672,61248,5738,7172
ulcerative colitis,27304,10307,1422,2749,629,163
crohn’s disease,28143,10001,1620,2063,666,153
gastric cancer,53923,24843,5765,27300,1674,937
chagas disease,12983,21285,29613,992,86,18
ovarian cancer,93859,45473,11102,9544,1406,742
