,male,female
tuberculoses,853324,540667
rheumatoid arthritis,116846,165568
bacterial pneumonia,616611,446767
hiv/aids,2787351,2745052
prostate cancer,918381,151049
multiple sclerosis,195823,236026
syphilis,88627,58837
essential hypertension,330838,371380
sarcoidoses,20592,18364
gastric cancer,78163,50149
type 2 diabetes,228192,262328
lupus,160805,313807
hepatitis b,73505,93457
colon cancer,278686,252384
crohn’s disease,45595,46354
ulcerative colitis,34935,31251
ovarian cancer,85812,497050
multiple myeloma,50780,36537
endocarditis,16522,10542
chagas disease,4853,5626
takotsubo cardiomyopathy,3766,8055
covid-19,504,112
