,black,white/caucasian,hispanic/latino,native american/alaskan native,asian,pacific islander
hiv/aids,381925,227906,68864,11851,24400,4752
tuberculoses,75443,68358,9436,7686,9467,1162
type 2 diabetes,24839,39588,14109,7203,15504,2961
lupus,23530,27107,8721,2702,6220,502
gastric cancer,3855,5690,1251,336,3122,255
essential hypertension,45607,64774,8571,1442,7079,824
multiple sclerosis,4808,21162,1268,281,1038,75
sarcoidoses,3293,4212,117,21,189,6
prostate cancer,47048,36418,4552,1030,6096,370
chagas disease,1935,823,4432,14,53,0
multiple myeloma,2813,8333,637,50,303,38
colon cancer,17235,19629,3503,1415,3655,431
ulcerative colitis,1209,3980,178,73,366,26
crohn’s disease,1256,4184,191,72,322,20
syphilis,9159,5827,1167,659,382,207
rheumatoid arthritis,6843,17999,944,628,1328,60
ovarian cancer,6571,10632,1275,153,1096,133
bacterial pneumonia,14013,21926,2097,1237,1564,191
hepatitis b,6714,10618,1732,696,10461,2047
endocarditis,559,2687,141,18,139,6
takotsubo cardiomyopathy,76,459,16,6,58,5
covid-19,6,107,0,0,3,0
