,black,white/caucasian,asian,hispanic/latino,pacific islander,native american/alaskan native
prostate cancer,89390,73903,12255,9121,788,2188
tuberculoses,158224,146473,20636,20466,2737,15910
hiv/aids,750885,469084,51246,136560,9567,24250
bacterial pneumonia,31138,49142,3979,5217,474,2797
lupus,45540,56786,12057,16467,989,5273
type 2 diabetes,49991,84217,29903,26631,5452,13311
hepatitis b,14769,23719,19719,3958,3653,1474
multiple myeloma,5602,16077,675,1503,78,95
essential hypertension,90198,130228,14813,17302,1581,2965
gastric cancer,7453,12267,6174,2280,426,627
multiple sclerosis,10936,44184,2282,2817,194,710
sarcoidoses,6521,9005,401,286,6,44
chagas disease,3648,1976,147,8125,3,25
colon cancer,34235,41674,7500,7125,918,2655
ulcerative colitis,2748,8213,808,425,67,177
crohn’s disease,2875,8802,688,474,52,168
endocarditis,1376,5895,307,336,14,49
syphilis,16949,12532,849,2319,417,1262
rheumatoid arthritis,15876,39599,3009,2404,179,1309
ovarian cancer,13486,22493,2429,2843,274,400
takotsubo cardiomyopathy,191,967,122,45,15,20
covid-19,12,190,12,0,0,0
