,male,female
lupus,18472,8599
hiv/aids,116745,96608
prostate cancer,4958,2432
covid-19,6170,4416
takotsubo cardiomyopathy,17,15
multiple sclerosis,695,689
colon cancer,4986,5846
tuberculoses,115206,56604
bacterial pneumonia,48024,66764
endocarditis,970,1563
syphilis,11486,6288
type 2 diabetes,1446,2059
multiple myeloma,2650,5065
essential hypertension,4403,12031
sarcoidoses,343,321
rheumatoid arthritis,2526,3848
hepatitis b,5621,9483
ulcerative colitis,370,346
crohn’s disease,708,994
gastric cancer,2668,2894
chagas disease,370,761
ovarian cancer,785,3071
