,white/caucasian,black,hispanic/latino,asian,native american/alaskan native,pacific islander
lupus,1778,2129,667,160,46,22
hiv/aids,18199,13978,7230,2804,2014,916
prostate cancer,1270,359,98,38,32,28
covid-19,2165,2064,200,208,7,5
takotsubo cardiomyopathy,2,4,0,0,0,0
multiple sclerosis,280,281,21,14,7,2
colon cancer,1708,525,102,58,87,70
tuberculoses,721319,140022,20147,7373,1102,426
bacterial pneumonia,1711,974,400,186,485,147
endocarditis,300,105,101,42,27,25
syphilis,817,489,43,15,8,1
type 2 diabetes,1029,923,443,60,138,25
multiple myeloma,562,102,61,79,6,6
essential hypertension,2592,1017,676,168,102,91
sarcoidoses,123,126,16,5,10,6
rheumatoid arthritis,322,285,31,29,16,9
hepatitis b,4681,254,122,88,73,54
ulcerative colitis,74,79,10,9,18,3
crohn’s disease,298,81,69,16,9,7
gastric cancer,253,139,25,23,16,16
chagas disease,115,40,409,31,8,0
ovarian cancer,517,68,17,17,11,10
