,white/caucasian,black,hispanic/latino,asian,native american/alaskan native,pacific islander
tuberculoses,1353,608,139,7,7,5
hepatitis b,269,1,0,1,0,0
hiv/aids,40,60,8,6,19,3
lupus,25,5,0,0,0,0
ovarian cancer,1,2,0,0,0,0
covid-19,26,30,0,3,0,0
type 2 diabetes,2,8,0,1,0,1
prostate cancer,8,9,0,0,0,0
chagas disease,0,8,31,0,6,0
bacterial pneumonia,8,0,0,0,0,0
multiple sclerosis,1,1,0,0,0,0
colon cancer,4,3,0,0,0,0
syphilis,1,2,1,0,0,0
essential hypertension,2,1,0,0,0,0
crohn’s disease,0,0,0,1,0,0
gastric cancer,1,0,0,0,0,0
rheumatoid arthritis,2,0,0,0,0,0
takotsubo cardiomyopathy,0,0,0,0,0,0
endocarditis,0,0,0,0,0,0
multiple myeloma,0,0,0,0,0,0
sarcoidoses,0,0,0,0,0,0
ulcerative colitis,0,0,0,0,0,0
