,white/caucasian,black,asian,hispanic/latino,pacific islander,native american/alaskan native
hiv/aids,1029,1318,120,396,90,224
essential hypertension,141,49,26,18,14,4
tuberculoses,31072,11047,339,1521,94,152
lupus,205,213,31,14,0,16
covid-19,316,632,28,84,0,2
type 2 diabetes,68,94,16,15,6,6
hepatitis b,3375,13,2,3,4,4
multiple sclerosis,64,26,0,1,0,0
colon cancer,217,80,1,5,0,14
chagas disease,17,27,1,304,0,8
bacterial pneumonia,116,33,3,17,0,6
endocarditis,2,1,0,0,0,0
sarcoidoses,1,9,0,0,0,0
ovarian cancer,74,13,1,0,0,0
gastric cancer,43,20,0,0,0,0
prostate cancer,167,66,4,9,4,8
multiple myeloma,10,8,0,1,0,0
ulcerative colitis,19,21,1,4,1,10
syphilis,40,39,0,4,0,0
rheumatoid arthritis,10,7,0,0,0,8
crohn’s disease,11,9,2,3,0,0
takotsubo cardiomyopathy,0,0,0,0,0,0
