,white/caucasian,black,asian,hispanic/latino,native american/alaskan native,pacific islander
covid-19,92,141,13,15,0,0
tuberculoses,6061,2975,92,355,51,33
hiv/aids,183,331,36,63,60,19
hepatitis b,687,7,2,0,4,4
multiple sclerosis,12,3,0,0,0,0
essential hypertension,15,12,8,3,0,1
type 2 diabetes,12,51,4,2,1,1
lupus,47,47,6,4,0,0
ovarian cancer,6,3,0,0,0,0
gastric cancer,14,7,0,0,0,0
colon cancer,41,14,1,0,3,0
prostate cancer,43,23,1,1,2,1
bacterial pneumonia,25,6,1,2,0,0
multiple myeloma,2,0,0,0,0,0
chagas disease,6,12,0,100,8,0
syphilis,13,12,0,3,0,0
ulcerative colitis,3,5,0,0,0,0
crohn’s disease,3,4,2,0,0,0
endocarditis,2,0,0,0,0,0
rheumatoid arthritis,4,0,0,0,0,0
takotsubo cardiomyopathy,0,0,0,0,0,0
sarcoidoses,0,0,0,0,0,0
