,male,female
lupus,1545,1043
hiv/aids,10663,5045
prostate cancer,565,270
covid-19,7000,3917
takotsubo cardiomyopathy,20,68
multiple sclerosis,99,74
colon cancer,331,369
tuberculoses,21461,9596
bacterial pneumonia,3357,2972
endocarditis,26,15
syphilis,752,180
type 2 diabetes,599,249
multiple myeloma,27,18
essential hypertension,1708,1520
sarcoidoses,4,4
rheumatoid arthritis,62,83
hepatitis b,593,160
ulcerative colitis,179,99
crohn’s disease,5,2
gastric cancer,748,50
chagas disease,0,0
ovarian cancer,147,444
