,white/caucasian,black,hispanic/latino,asian,native american/alaskan native,pacific islander
lupus,329,256,78,16,1,8
hiv/aids,1080,966,456,62,6,2
prostate cancer,25,51,8,8,0,0
covid-19,2543,2068,134,95,32,5
takotsubo cardiomyopathy,0,0,0,0,0,0
multiple sclerosis,11,8,3,0,0,0
colon cancer,113,115,23,43,0,0
tuberculoses,15680,17566,315,87,1,5
bacterial pneumonia,244,229,220,20,43,2
endocarditis,0,2,0,0,0,0
syphilis,16,32,5,0,6,0
type 2 diabetes,218,142,0,18,0,0
multiple myeloma,24,16,3,0,0,0
essential hypertension,443,268,108,17,6,3
sarcoidoses,6,2,0,0,0,0
rheumatoid arthritis,29,46,3,2,0,0
hepatitis b,89,39,34,1,0,0
ulcerative colitis,12,45,2,0,0,0
crohn’s disease,0,0,0,0,0,0
gastric cancer,29,1,4,50,0,0
chagas disease,0,4,0,1,0,0
ovarian cancer,35,37,14,0,0,0
