,female,male
tuberculoses,3832,9991
covid-19,1559,2865
lupus,506,528
hiv/aids,2779,5076
essential hypertension,1064,1040
bacterial pneumonia,1168,1298
type 2 diabetes,105,233
prostate cancer,62,336
rheumatoid arthritis,41,32
multiple sclerosis,54,71
hepatitis b,127,407
ovarian cancer,239,42
ulcerative colitis,86,155
gastric cancer,29,223
syphilis,85,340
colon cancer,155,157
multiple myeloma,7,9
endocarditis,11,2
takotsubo cardiomyopathy,19,9
crohn’s disease,2,5
sarcoidoses,3,4
chagas disease,0,0
