,white/caucasian,black,hispanic/latino,asian,native american/alaskan native,pacific islander
tuberculoses,2578,2651,46,31,0,0
covid-19,322,268,11,7,4,0
hiv/aids,136,173,48,12,2,0
hepatitis b,19,7,5,0,0,0
gastric cancer,3,0,1,8,0,0
lupus,37,28,14,5,0,0
prostate cancer,0,13,2,5,0,0
multiple myeloma,4,7,2,0,0,0
syphilis,1,3,0,0,2,0
colon cancer,12,14,1,8,0,0
bacterial pneumonia,29,31,32,1,6,0
essential hypertension,65,57,16,12,2,2
type 2 diabetes,48,27,0,3,0,0
sarcoidoses,2,0,0,0,0,0
chagas disease,0,2,0,0,0,0
ulcerative colitis,0,3,1,0,0,0
multiple sclerosis,5,0,0,0,0,0
ovarian cancer,1,0,0,0,0,0
takotsubo cardiomyopathy,0,0,0,0,0,0
endocarditis,0,0,0,0,0,0
rheumatoid arthritis,0,0,0,0,0,0
crohn’s disease,0,0,0,0,0,0
