,male,female
lupus,120665,69017
hiv/aids,2684079,1829928
prostate cancer,246798,66417
covid-19,3922380,1909611
takotsubo cardiomyopathy,550,791
multiple sclerosis,100995,85910
colon cancer,135025,67412
tuberculoses,1022589,463355
bacterial pneumonia,805185,334261
endocarditis,9071,3492
syphilis,191692,81327
type 2 diabetes,44813,26625
multiple myeloma,30354,15378
essential hypertension,82565,57867
sarcoidoses,8954,6356
rheumatoid arthritis,24340,20875
hepatitis b,33013,27975
ulcerative colitis,13234,5241
crohn’s disease,1242,431
gastric cancer,108823,39295
chagas disease,8927,2919
ovarian cancer,50569,125070
