,white/caucasian,black,hispanic/latino,asian,native american/alaskan native,pacific islander
lupus,15130,11074,3397,2047,558,198
hiv/aids,137354,245800,55290,21893,14991,2938
prostate cancer,9973,11740,1720,1070,292,94
covid-19,350608,248695,57899,74876,12897,6188
takotsubo cardiomyopathy,94,157,4,7,0,0
multiple sclerosis,7393,3093,606,450,152,23
colon cancer,6578,8479,963,1104,331,128
tuberculoses,50456,45913,8474,6115,10135,1800
bacterial pneumonia,29769,33654,4410,2481,3165,988
endocarditis,992,259,130,43,9,12
syphilis,12681,17650,3331,703,1381,643
type 2 diabetes,6068,5027,1950,3278,1654,406
multiple myeloma,2411,2257,140,192,52,113
essential hypertension,11603,12342,3988,1762,1507,244
sarcoidoses,2867,2084,52,89,77,2
rheumatoid arthritis,3422,1552,320,304,94,12
hepatitis b,4518,3825,1260,7009,483,1599
ulcerative colitis,1726,457,175,206,14,5
crohn’s disease,151,74,25,12,5,1
gastric cancer,4127,4920,709,708,463,104
chagas disease,587,893,1069,22,11,1
ovarian cancer,4477,4783,1291,837,454,58
