,white/caucasian,hispanic/latino,black,asian,native american/alaskan native,pacific islander
multiple sclerosis,54,4,32,3,1,0
ulcerative colitis,12,0,1,0,0,0
chagas disease,5,16,34,0,0,0
hiv/aids,824,533,2345,192,105,35
covid-19,1419,224,1271,393,66,18
syphilis,79,24,137,0,12,5
essential hypertension,152,22,134,8,7,3
bacterial pneumonia,142,26,233,18,19,8
tuberculoses,324,37,355,27,87,16
type 2 diabetes,43,12,31,20,8,1
lupus,111,89,120,8,2,0
multiple myeloma,20,2,16,0,0,0
gastric cancer,21,1,33,14,4,0
hepatitis b,31,3,16,56,0,15
rheumatoid arthritis,22,3,3,1,0,0
colon cancer,39,6,97,8,3,1
prostate cancer,66,7,114,10,1,0
crohn’s disease,0,0,1,1,0,0
ovarian cancer,19,3,35,3,1,0
sarcoidoses,12,0,12,2,0,0
endocarditis,4,0,3,0,0,0
takotsubo cardiomyopathy,0,0,1,0,0,0
