,male,female
covid-19,606393,309735
tuberculoses,250769,125494
hiv/aids,468835,337969
syphilis,36127,15568
lupus,22842,13429
multiple sclerosis,24167,19957
prostate cancer,52248,11864
bacterial pneumonia,186403,78225
colon cancer,32416,15840
rheumatoid arthritis,6877,5755
endocarditis,2490,1013
chagas disease,1310,546
essential hypertension,18743,11940
hepatitis b,6707,4528
multiple myeloma,7907,3698
ovarian cancer,8418,23001
gastric cancer,25171,9790
ulcerative colitis,2870,837
type 2 diabetes,10046,5976
sarcoidoses,2149,837
crohn’s disease,437,170
takotsubo cardiomyopathy,182,188
