,white/caucasian,black,native american/alaskan native,hispanic/latino,pacific islander,asian
tuberculoses,1822,1931,392,230,97,138
covid-19,9111,7213,341,1382,152,2364
hiv/aids,4361,10292,422,2298,160,867
multiple sclerosis,321,161,3,28,0,14
ulcerative colitis,78,17,1,2,0,4
lupus,736,628,8,251,2,82
rheumatoid arthritis,161,26,6,12,0,6
chagas disease,23,74,0,46,0,0
syphilis,371,599,54,112,25,8
essential hypertension,600,541,44,119,7,50
bacterial pneumonia,905,1294,125,131,42,110
prostate cancer,395,631,11,67,2,43
colon cancer,218,472,12,25,5,51
gastric cancer,158,216,13,11,2,82
type 2 diabetes,237,143,49,52,8,109
multiple myeloma,127,94,3,6,8,1
hepatitis b,147,85,3,20,66,283
endocarditis,40,17,0,4,0,1
ovarian cancer,143,163,11,23,0,17
crohn’s disease,8,5,1,0,0,1
sarcoidoses,65,62,0,0,0,5
takotsubo cardiomyopathy,1,6,0,0,0,1
