medical_key,gender_key,count,window,source,total_count,percentage
tuberculosis,male,585,10,Stack,128678,0.45462316790749
tuberculosis,female,460,10,Stack,128678,0.35748146536315456
tuberculosis,tot_disease_counts,127633,10,Stack,128678,99.18789536672935
covid-19,male,218,10,Stack,11950,1.8242677824267781
covid-19,female,68,10,Stack,11950,0.5690376569037657
covid-19,tot_disease_counts,11664,10,Stack,11950,97.60669456066947
hiv/aids,male,437,10,Stack,8502,5.139967066572571
hiv/aids,female,308,10,Stack,8502,3.62267701717243
hiv/aids,tot_disease_counts,7757,10,Stack,8502,91.237355916255
prostate cancer,male,50,10,Stack,274,18.248175182481752
prostate cancer,female,5,10,Stack,274,1.824817518248175
prostate cancer,tot_disease_counts,219,10,Stack,274,79.92700729927007
rheumatoid arthritis,male,4,10,Stack,107,3.7383177570093453
rheumatoid arthritis,female,2,10,Stack,107,1.8691588785046727
rheumatoid arthritis,tot_disease_counts,101,10,Stack,107,94.39252336448598
hepatitis b,male,40,10,Stack,454,8.81057268722467
hepatitis b,female,16,10,Stack,454,3.524229074889868
hepatitis b,tot_disease_counts,398,10,Stack,454,87.66519823788546
bacterial pneumonia,male,102,10,Stack,2093,4.873387482083134
bacterial pneumonia,female,67,10,Stack,2093,3.201146679407549
bacterial pneumonia,tot_disease_counts,1924,10,Stack,2093,91.92546583850931
ovarian cancer,male,9,10,Stack,139,6.474820143884892
ovarian cancer,female,22,10,Stack,139,15.827338129496402
ovarian cancer,tot_disease_counts,108,10,Stack,139,77.6978417266187
gastric cancer,male,21,10,Stack,72,29.166666666666668
gastric cancer,female,0,10,Stack,72,0
gastric cancer,tot_disease_counts,51,10,Stack,72,70.83333333333334
essential hypertension,male,108,10,Stack,2371,4.555040067482075
essential hypertension,female,94,10,Stack,2371,3.9645719105862502
essential hypertension,tot_disease_counts,2169,10,Stack,2371,91.48038802193167
syphilis,male,14,10,Stack,136,10.294117647058822
syphilis,female,4,10,Stack,136,2.941176470588235
syphilis,tot_disease_counts,118,10,Stack,136,86.76470588235294
lupus,male,40,10,Stack,2364,1.6920473773265652
lupus,female,48,10,Stack,2364,2.030456852791878
lupus,tot_disease_counts,2276,10,Stack,2364,96.27749576988155
type 2 diabetes,male,23,10,Stack,1607,1.4312383322962041
type 2 diabetes,female,6,10,Stack,1607,0.37336652146857496
type 2 diabetes,tot_disease_counts,1578,10,Stack,1607,98.19539514623521
multiple sclerosis,male,4,10,Stack,108,3.7037037037037033
multiple sclerosis,female,6,10,Stack,108,5.555555555555555
multiple sclerosis,tot_disease_counts,98,10,Stack,108,90.74074074074075
takotsubo cardiomyopathy,male,1,10,Stack,5,20
takotsubo cardiomyopathy,female,1,10,Stack,5,20
takotsubo cardiomyopathy,tot_disease_counts,3,10,Stack,5,60
colon cancer,male,21,10,Stack,392,5.357142857142857
colon cancer,female,28,10,Stack,392,7.142857142857142
colon cancer,tot_disease_counts,343,10,Stack,392,87.5
ulcerative colitis,male,10,10,Stack,84,11.904761904761903
ulcerative colitis,female,8,10,Stack,84,9.523809523809524
ulcerative colitis,tot_disease_counts,66,10,Stack,84,78.57142857142857
sarcoidoses,male,0,10,Stack,10,0
sarcoidoses,female,1,10,Stack,10,10
sarcoidoses,tot_disease_counts,9,10,Stack,10,90
crohn’s disease,male,1,10,Stack,10,10
crohn’s disease,female,1,10,Stack,10,10
crohn’s disease,tot_disease_counts,8,10,Stack,10,80
endocarditis,male,0,10,Stack,27,0
endocarditis,female,0,10,Stack,27,0
endocarditis,tot_disease_counts,27,10,Stack,27,100
multiple myeloma,male,0,10,Stack,23,0
multiple myeloma,female,0,10,Stack,23,0
multiple myeloma,tot_disease_counts,23,10,Stack,23,100
chagas disease,male,0,10,Stack,10,0
chagas disease,female,0,10,Stack,10,0
chagas disease,tot_disease_counts,10,10,Stack,10,100
tuberculosis,male,2599,50,Stack,131510,1.9762755683978406
tuberculosis,female,1278,50,Stack,131510,0.9717892175499963
tuberculosis,tot_disease_counts,127633,50,Stack,131510,97.05193521405216
covid-19,male,825,50,Stack,12850,6.420233463035019
covid-19,female,361,50,Stack,12850,2.809338521400778
covid-19,tot_disease_counts,11664,50,Stack,12850,90.77042801556419
hiv/aids,male,1582,50,Stack,10261,15.417600623720883
hiv/aids,female,922,50,Stack,10261,8.985478998148329
hiv/aids,tot_disease_counts,7757,50,Stack,10261,75.59692037813079
essential hypertension,male,366,50,Stack,2894,12.646855563234277
essential hypertension,female,359,50,Stack,2894,12.40497581202488
essential hypertension,tot_disease_counts,2169,50,Stack,2894,74.94816862474084
prostate cancer,male,166,50,Stack,404,41.089108910891085
prostate cancer,female,19,50,Stack,404,4.702970297029703
prostate cancer,tot_disease_counts,219,50,Stack,404,54.207920792079214
bacterial pneumonia,male,387,50,Stack,2567,15.075964160498637
bacterial pneumonia,female,256,50,Stack,2567,9.972730814179977
bacterial pneumonia,tot_disease_counts,1924,50,Stack,2567,74.95130502532139
rheumatoid arthritis,male,11,50,Stack,124,8.870967741935484
rheumatoid arthritis,female,12,50,Stack,124,9.67741935483871
rheumatoid arthritis,tot_disease_counts,101,50,Stack,124,81.45161290322581
lupus,male,151,50,Stack,2603,5.8009988474836724
lupus,female,176,50,Stack,2603,6.76142912024587
lupus,tot_disease_counts,2276,50,Stack,2603,87.43757203227047
hepatitis b,male,139,50,Stack,591,23.519458544839257
hepatitis b,female,54,50,Stack,591,9.137055837563452
hepatitis b,tot_disease_counts,398,50,Stack,591,67.34348561759728
ovarian cancer,male,21,50,Stack,212,9.90566037735849
ovarian cancer,female,83,50,Stack,212,39.15094339622642
ovarian cancer,tot_disease_counts,108,50,Stack,212,50.943396226415096
multiple sclerosis,male,23,50,Stack,143,16.083916083916083
multiple sclerosis,female,22,50,Stack,143,15.384615384615385
multiple sclerosis,tot_disease_counts,98,50,Stack,143,68.53146853146853
gastric cancer,male,79,50,Stack,132,59.84848484848485
gastric cancer,female,2,50,Stack,132,1.5151515151515151
gastric cancer,tot_disease_counts,51,50,Stack,132,38.63636363636363
syphilis,male,86,50,Stack,234,36.75213675213676
syphilis,female,30,50,Stack,234,12.82051282051282
syphilis,tot_disease_counts,118,50,Stack,234,50.427350427350426
colon cancer,male,53,50,Stack,457,11.597374179431071
colon cancer,female,61,50,Stack,457,13.347921225382933
colon cancer,tot_disease_counts,343,50,Stack,457,75.054704595186
multiple myeloma,male,7,50,Stack,35,20
multiple myeloma,female,5,50,Stack,35,14.285714285714285
multiple myeloma,tot_disease_counts,23,50,Stack,35,65.71428571428571
type 2 diabetes,male,84,50,Stack,1695,4.95575221238938
type 2 diabetes,female,33,50,Stack,1695,1.9469026548672566
type 2 diabetes,tot_disease_counts,1578,50,Stack,1695,93.09734513274336
takotsubo cardiomyopathy,male,2,50,Stack,7,28.57142857142857
takotsubo cardiomyopathy,female,2,50,Stack,7,28.57142857142857
takotsubo cardiomyopathy,tot_disease_counts,3,50,Stack,7,42.857142857142854
ulcerative colitis,male,29,50,Stack,124,23.387096774193548
ulcerative colitis,female,29,50,Stack,124,23.387096774193548
ulcerative colitis,tot_disease_counts,66,50,Stack,124,53.2258064516129
endocarditis,male,0,50,Stack,30,0
endocarditis,female,3,50,Stack,30,10
endocarditis,tot_disease_counts,27,50,Stack,30,90
sarcoidoses,male,3,50,Stack,14,21.428571428571427
sarcoidoses,female,2,50,Stack,14,14.285714285714285
sarcoidoses,tot_disease_counts,9,50,Stack,14,64.28571428571429
crohn’s disease,male,1,50,Stack,10,10
crohn’s disease,female,1,50,Stack,10,10
crohn’s disease,tot_disease_counts,8,50,Stack,10,80
chagas disease,male,0,50,Stack,10,0
chagas disease,female,0,50,Stack,10,0
chagas disease,tot_disease_counts,10,50,Stack,10,100
