Black,White,Hispanic,Asian,Other+N/A,Female,Male,Condition
0.88,0.06,0.06,0.0,0.0,0.3,0.7,Essential Hypertension
0.56,0.06,0.32,0.0,0.06,0.66,0.32,Type 2 Diabetes Mellitus
0.08,0.58,0.06,0.0,0.28,1.0,0.0,Urinary tract infection
0.14,0.64,0.08,0.02,0.12,0.46,0.52,Bacterial Pneumonia
0.26,0.5,0.16,0.02,0.06,0.52,0.48, COVID-19
0.14,0.74,0.02,0.04,0.06,0.16,0.84,Colon cancer
0.86,0.1,0.0,0.02,0.02,0.0,1.0,Prostate cancer
0.66,0.22,0.0,0.02,0.1,0.22,0.78,Multiple myeloma
0.08,0.82,0.02,0.0,0.08,1.0,0.0,Rheumatoid Arthritis
0.04,0.82,0.04,0.02,0.08,1.0,0.0,Multiple Sclerosis
0.78,0.06,0.04,0.02,0.1,0.08,0.92,HIV/AIDS
0.4,0.3,0.02,0.02,0.26,0.12,0.88,Syphilis
0.16,0.46,0.06,0.0,0.32,0.34,0.66,Tricuspid Endocarditis
0.4,0.14,0.04,0.02,0.4,1.0,0.0,Preeclampsia
0.14,0.0,0.5,0.12,0.24,0.26,0.74,Tuberculosis
0.74,0.02,0.06,0.06,0.12,1.0,0.0,Systemic Lupus Erythematosus
0.98,0.0,0.02,0.0,0.0,1.0,0.0,Sarcoidosis
0.02,0.76,0.0,0.02,0.2,0.96,0.0,Takotsubo cardiomyopathy
0.02,0.08,0.0,0.9,0.0,0.02,0.98,Hepatitis B
